Quote ID,Date,Supplier,Product,Electronic Component 1 Name,Electronic Component 1 Cost,Mechanical Component 1 Name,Mechanical Component 1 Cost,Raw Material 1 Name,Raw Material 1 Cost,Conversion Cost 1 Type,Conversion Cost 1 Detail,Conversion Cost 1 Cost,Logistic Choice,Estimated Delivery Cost,Total Cost per Unit,Quantity,Total Project Cost,Electronic Component 2 Name,Electronic Component 2 Cost,Electronic Component 3 Name,Electronic Component 3 Cost,Mechanical Component 2 Name,Mechanical Component 2 Cost,Mechanical Component 3 Name,Mechanical Component 3 Cost,Raw Material 2 Name,Raw Material 2 Cost,Conversion Cost 2 Type,Conversion Cost 2 Detail,Conversion Cost 2 Cost,Conversion Cost 3 Type,Conversion Cost 3 Detail,Conversion Cost 3 Cost,Quality Control 1 Type,Quality Control 1 Detail,Quality Control 1 Cost,Quality Control 2 Type,Quality Control 2 Detail,Quality Control 2 Cost
001,10th February 2071,AutoElectrix,TPS-100,Potentiometer,0.6,Injection-Molded Plastic Casing,0.47,ABS Plastic,0.35,Labor,Assembly Labor,0.6,Air,0.47,6.79,928.89,7042.19,Microcontroller,1.47,Voltage Regulator,0.34,Brass Contact Pins,0.39,Mounting Clamp,0.38,Steel,0.39,Labor,Testing and Calibration,0.48,Labor,Packaging Labor,0.27,Quality Control,Inspection,0.25,Quality Control,Testing Equipment Depreciation,0.15
002,15th February 2071,ElectroParts,O2-Sensor-200,Resistor,0.78,Thermal Shielding,0.57,Aluminum,0.35,Labor,Welding Labor,0.74,Road,0.54,6.86,960.19,6095.9,Pressure Sensor,1.12,Heat Sink,0.27,Spring Clip,0.28,Gear Mechanism,0.44,Copper,0.39,Labor,Quality Inspection,0.55,Labor,Transportation Handling,0.27,Quality Control,Functionality Test,0.25,Quality Control,Environmental Stress Screening,0.17
003,20th February 2071,AdvancedAuto,ECU-300,Capacitor,0.69,Mounting Bracket,0.38,Stainless Steel,0.4,Labor,Circuit Board Assembly,0.6,Sea,0.54,7.25,861.64,8329.41,Transistor,1.17,Diode,0.29,Connector Housing,0.39,Adjustable Lever,0.35,Nickel,0.35,Labor,Machine Calibration,0.38,Labor,Handling and Storage,0.39,Quality Control,Dimensional Inspection,0.24,Quality Control,Life Cycle Testing,0.27
004,25th February 2071,AutoInnovate,TPS-101,Thermistor,0.65,Rubber Seal,0.42,Silicone Rubber,0.46,Labor,Surface Treatment,0.71,Air,0.59,7.56,803.76,6651.87,Temperature Sensor,0.81,Amplifier,0.21,Copper Wire,0.34,Rotary Shaft,0.28,Titanium,0.3,Labor,Electronic Testing,0.41,Labor,Inventory Management,0.26,Quality Control,Material Analysis,0.16,Quality Control,Vibration Analysis,0.21
005,28th February 2071,TechnoDrive,O2-Sensor-201,LED,0.73,Actuator Arm,0.38,Brass,0.36,Labor,Electroplating,0.71,Sea,0.54,6.44,969.61,4310.56,Relay,1.23,Operational Amplifier,0.31,Plastic Knob,0.3,Cam Follower,0.28,Zinc,0.3,Labor,Assembly Line Setup,0.39,Labor,Import Duties,0.32,Quality Control,Pressure Testing,0.23,Quality Control,Reliability Testing,0.24
006,1st March 2071,AutoTechSolutions,ECU-301,Diode,0.51,Connector Body,0.39,Glass,0.47,Labor,Molding,0.57,Road,0.58,8.26,1097.34,8335.47,Inductor,0.79,Crystal Oscillator,0.35,Steel Rod,0.37,Linkage Assembly,0.45,Graphite,0.29,Labor,Equipment Maintenance,0.4,Labor,Export Processing,0.26,Quality Control,Electrical Testing,0.25,Quality Control,Wear Testing,0.22
007,4th March 2071,InnovativeAuto,TPS-102,Integrated Circuit,0.66,Valve Body,0.57,Rubber,0.41,Labor,Coating Application,0.61,Sea,0.57,6.62,564.88,5444.35,Piezoelectric Sensor,1.56,Filter,0.28,Ceramic Disc,0.35,Control Arm,0.32,Lead,0.29,Labor,Worker Training,0.51,Labor,Customs Clearance,0.41,Quality Control,Chemical Analysis,0.2,Quality Control,Endurance Testing,0.11
008,7th March 2071,ElectroDynamic,O2-Sensor-202,Fuse,0.55,Heat Sink,0.55,Carbon Fiber,0.48,Labor,Heat Treatment,0.65,Air,0.47,7.11,515.74,4772.41,Servo Motor,0.78,Rectifier,0.26,Metal Clip,0.28,Bushing Assembly,0.37,Iron,0.26,Labor,Safety Testing,0.54,Labor,Quality Assurance,0.33,Quality Control,Torque Testing,0.16,Quality Control,Non-Destructive Testing,0.19
009,10th March 2071,AutoInnovations,ECU-302,Voltage Regulator,0.77,Piston,0.49,Polycarbonate,0.4,Labor,Polishing,0.69,Road,0.51,7.28,1121.22,6097.48,Optocoupler,1.58,Power Supply,0.35,Wire Harness,0.24,Pivot Point,0.3,Alloy Steel,0.32,Labor,Process Optimization,0.46,Labor,Supply Chain Management,0.45,Quality Control,Leak Testing,0.31,Quality Control,Durability Testing,0.18
010,13th March 2071,TechnoParts,TPS-103,Oscillator,0.47,Gasket,0.47,Teflon,0.45,Labor,Annealing,0.67,Sea,0.56,7.33,890.39,5346.94,Magnetic Sensor,1.37,Charge Controller,0.22,Spring,0.3,Slider Mechanism,0.32,Magnesium,0.26,Labor,Product Certification,0.41,Labor,Logistics Coordination,0.44,Quality Control,Acoustic Testing,0.2,Quality Control,Impact Testing,0.17
011,16th March 2071,DynamicAuto,O2-Sensor-203,Transducer,0.57,Bracket Assembly,0.54,Ceramic,0.39,Labor,Casting,0.6,Air,0.62,7.43,797.85,6572.79,Variable Resistor,0.73,Energy Harvester,0.25,Pin Connector,0.23,Rack and Pinion,0.29,Tungsten,0.3,Labor,Tooling Setup,0.41,Labor,Risk Management,0.4,Quality Control,Radiographic Inspection,0.19,Quality Control,Corrosion Testing,0.12
012,19th March 2071,EcoAutoTech,ECU-303,Photodiode,0.59,Switch Assembly,0.57,High-Density Polyethylene,0.47,Labor,Drilling,0.62,Road,0.58,7.15,693.61,6900.49,LCD Display,1.46,Signal Processor,0.3,Rivet,0.32,Helical Spring,0.3,Silicon,0.31,Labor,Firmware Updating,0.46,Labor,Inventory Optimization,0.45,Quality Control,Spectral Analysis,0.29,Quality Control,Thermal Cycling,0.21
013,22nd March 2071,NextGenAuto,TPS-104,Piezoelectric Crystal,0.71,Frame Structure,0.59,Composite Material,0.4,Labor,Stamping,0.6,Sea,0.54,8.3,1158.42,5690.09,RFID Chip,1.51,Hall Effect Sensor,0.21,Bearing,0.34,Sprocket Assembly,0.33,Bronze,0.29,Labor,Workflow Analysis,0.53,Labor,Transport Licensing,0.28,Quality Control,Ultrasonic Testing,0.22,Quality Control,Fatigue Testing,0.15
