Quote ID,Date,Supplier,Product,Electronic Component 1 Name,Electronic Component 1 Cost,Mechanical Component 1 Name,Mechanical Component 1 Cost,Raw Material 1 Name,Raw Material 1 Cost,Conversion Cost 1 Type,Conversion Cost 1 Detail,Conversion Cost 1 Cost,Logistic Choice,Estimated Delivery Cost,Total Cost per Unit,Quantity,Total Project Cost,Electronic Component 2 Name,Electronic Component 2 Cost,Electronic Component 3 Name,Electronic Component 3 Cost,Mechanical Component 2 Name,Mechanical Component 2 Cost,Mechanical Component 3 Name,Mechanical Component 3 Cost,Raw Material 2 Name,Raw Material 2 Cost,Conversion Cost 2 Type,Conversion Cost 2 Detail,Conversion Cost 2 Cost,Conversion Cost 3 Type,Conversion Cost 3 Detail,Conversion Cost 3 Cost,Quality Control 1 Type,Quality Control 1 Detail,Quality Control 1 Cost,Quality Control 2 Type,Quality Control 2 Detail,Quality Control 2 Cost
001,10th February 2071,AutoElectrix,TPS-100,Potentiometer,0.73,Injection-Molded Plastic Casing,0.55,ABS Plastic,0.33,Labor,Assembly Labor,0.7,Air,0.46,8.07,546.09,9147.53,Microcontroller,1.23,Voltage Regulator,0.22,Brass Contact Pins,0.32,Mounting Clamp,0.28,Steel,0.41,Labor,Testing and Calibration,0.39,Labor,Packaging Labor,0.36,Quality Control,Inspection,0.25,Quality Control,Testing Equipment Depreciation,0.1
002,15th February 2071,ElectroParts,O2-Sensor-200,Resistor,0.55,Thermal Shielding,0.37,Aluminum,0.46,Labor,Welding Labor,0.69,Road,0.51,8.17,548.83,4895.52,Pressure Sensor,1.03,Heat Sink,0.2,Spring Clip,0.35,Gear Mechanism,0.29,Copper,0.29,Labor,Quality Inspection,0.43,Labor,Transportation Handling,0.38,Quality Control,Functionality Test,0.31,Quality Control,Environmental Stress Screening,0.1
003,20th February 2071,AdvancedAuto,ECU-300,Capacitor,0.78,Mounting Bracket,0.52,Stainless Steel,0.45,Labor,Circuit Board Assembly,0.64,Sea,0.47,7.87,1124.54,6832.87,Transistor,1.01,Diode,0.3,Connector Housing,0.3,Adjustable Lever,0.45,Nickel,0.27,Labor,Machine Calibration,0.35,Labor,Handling and Storage,0.27,Quality Control,Dimensional Inspection,0.22,Quality Control,Life Cycle Testing,0.17
004,25th February 2071,AutoInnovate,TPS-101,Thermistor,0.71,Rubber Seal,0.5,Silicone Rubber,0.42,Labor,Surface Treatment,0.59,Air,0.56,8.69,1108.95,6903.7,Temperature Sensor,1.3,Amplifier,0.24,Copper Wire,0.35,Rotary Shaft,0.33,Titanium,0.28,Labor,Electronic Testing,0.44,Labor,Inventory Management,0.37,Quality Control,Material Analysis,0.32,Quality Control,Vibration Analysis,0.26
005,28th February 2071,TechnoDrive,O2-Sensor-201,LED,0.71,Actuator Arm,0.42,Brass,0.45,Labor,Electroplating,0.59,Sea,0.52,7.41,899.63,5989.85,Relay,1.57,Operational Amplifier,0.34,Plastic Knob,0.24,Cam Follower,0.4,Zinc,0.42,Labor,Assembly Line Setup,0.38,Labor,Import Duties,0.34,Quality Control,Pressure Testing,0.23,Quality Control,Reliability Testing,0.21
006,1st March 2071,AutoTechSolutions,ECU-301,Diode,0.6,Connector Body,0.38,Glass,0.45,Labor,Molding,0.74,Road,0.47,8.44,1193.3,7573.64,Inductor,1.39,Crystal Oscillator,0.22,Steel Rod,0.28,Linkage Assembly,0.35,Graphite,0.4,Labor,Equipment Maintenance,0.4,Labor,Export Processing,0.41,Quality Control,Electrical Testing,0.3,Quality Control,Wear Testing,0.17
007,4th March 2071,InnovativeAuto,TPS-102,Integrated Circuit,0.55,Valve Body,0.5,Rubber,0.48,Labor,Coating Application,0.67,Sea,0.6,7.16,850.15,4366.2,Piezoelectric Sensor,0.99,Filter,0.21,Ceramic Disc,0.37,Control Arm,0.46,Lead,0.35,Labor,Worker Training,0.56,Labor,Customs Clearance,0.45,Quality Control,Chemical Analysis,0.31,Quality Control,Endurance Testing,0.17
008,7th March 2071,ElectroDynamic,O2-Sensor-202,Fuse,0.74,Heat Sink,0.45,Carbon Fiber,0.41,Labor,Heat Treatment,0.71,Air,0.63,8.29,945.39,5462.55,Servo Motor,1.48,Rectifier,0.34,Metal Clip,0.37,Bushing Assembly,0.43,Iron,0.27,Labor,Safety Testing,0.51,Labor,Quality Assurance,0.31,Quality Control,Torque Testing,0.19,Quality Control,Non-Destructive Testing,0.13
009,10th March 2071,AutoInnovations,ECU-302,Voltage Regulator,0.69,Piston,0.46,Polycarbonate,0.39,Labor,Polishing,0.67,Road,0.49,7.31,743.95,4682.65,Optocoupler,1.6,Power Supply,0.2,Wire Harness,0.36,Pivot Point,0.34,Alloy Steel,0.38,Labor,Process Optimization,0.38,Labor,Supply Chain Management,0.29,Quality Control,Leak Testing,0.15,Quality Control,Durability Testing,0.17
010,13th March 2071,TechnoParts,TPS-103,Oscillator,0.76,Gasket,0.58,Teflon,0.41,Labor,Annealing,0.67,Sea,0.58,6.58,701.67,5362.77,Magnetic Sensor,1.11,Charge Controller,0.29,Spring,0.36,Slider Mechanism,0.33,Magnesium,0.34,Labor,Product Certification,0.42,Labor,Logistics Coordination,0.41,Quality Control,Acoustic Testing,0.18,Quality Control,Impact Testing,0.11
