CQID,pType,CAT,CPID,CComp,CCost,LCost,DCost,DQID,DPID,[Q],IMP,POS
1,TPS,Electronic Component,TPS-100,Potentiometer,0.73,0.58,0.15,36,TPS-112,546.09,81.91,REFERENCE FOUND!
1,TPS,Electronic Component,TPS-100,Microcontroller,1.23,1.01,0.22,26,TPS-108,546.09,120.14,REFERENCE FOUND!
1,TPS,Electronic Component,TPS-100,Voltage Regulator,0.22,0.22,0.0,1,TPS-100,546.09,0.0,COST REFERENCE
1,TPS,Mechanical Components,TPS-100,Injection-Molded Plastic Casing,0.55,0.37,0.18,26,TPS-108,546.09,98.3,REFERENCE FOUND!
1,TPS,Mechanical Components,TPS-100,Brass Contact Pins,0.32,0.24,0.08,17,TPS-105,546.09,43.69,REFERENCE FOUND!
1,TPS,Mechanical Components,TPS-100,Mounting Clamp,0.28,0.28,0.0,1,TPS-100,546.09,0.0,COST REFERENCE
1,TPS,Raw Material,TPS-100,ABS Plastic,0.33,0.33,0.0,1,TPS-100,546.09,0.0,COST REFERENCE
1,TPS,Raw Material,TPS-100,Steel,0.41,0.25,0.16,36,TPS-112,546.09,87.37,REFERENCE FOUND!
1,TPS,Conversion Cost,TPS-100,Assembly Labor,0.7,0.61,0.09,17,TPS-105,546.09,49.15,REFERENCE FOUND!
1,TPS,Conversion Cost,TPS-100,Testing and Calibration,0.39,0.39,0.0,1,TPS-100,546.09,0.0,COST REFERENCE
1,TPS,Conversion Cost,TPS-100,Packaging Labor,0.36,0.33,0.03,26,TPS-108,546.09,16.38,REFERENCE FOUND!
1,TPS,Logistic Choice,TPS-100,Air,0.46,0.43,0.03,14,O2-Sensor-204,546.09,16.38,REFERENCE FOUND!
1,TPS,Logistic Choice,TPS-100,Inspection,0.25,0.2,0.05,17,TPS-105,546.09,27.3,REFERENCE FOUND!
1,TPS,Logistic Choice,TPS-100,Testing Equipment Depreciation,0.1,0.1,0.0,1,TPS-100,546.09,0.0,COST REFERENCE
2,O2-Sensor,Electronic Component,O2-Sensor-200,Resistor,0.55,0.51,0.04,27,O2-Sensor-208,548.83,21.95,REFERENCE FOUND!
2,O2-Sensor,Electronic Component,O2-Sensor-200,Pressure Sensor,1.03,1.03,0.0,2,O2-Sensor-200,548.83,0.0,COST REFERENCE
2,O2-Sensor,Electronic Component,O2-Sensor-200,Heat Sink,0.2,0.2,0.0,2,O2-Sensor-200,548.83,0.0,COST REFERENCE
2,O2-Sensor,Mechanical Components,O2-Sensor-200,Thermal Shielding,0.37,0.37,0.0,2,O2-Sensor-200,548.83,0.0,COST REFERENCE
2,O2-Sensor,Mechanical Components,O2-Sensor-200,Spring Clip,0.35,0.25,0.1,19,TPS-106,548.83,54.88,REFERENCE FOUND!
2,O2-Sensor,Mechanical Components,O2-Sensor-200,Gear Mechanism,0.29,0.29,0.0,2,O2-Sensor-200,548.83,0.0,COST REFERENCE
2,O2-Sensor,Raw Material,O2-Sensor-200,Aluminum,0.46,0.35,0.11,19,TPS-106,548.83,60.37,REFERENCE FOUND!
2,O2-Sensor,Raw Material,O2-Sensor-200,Copper,0.29,0.29,0.0,2,O2-Sensor-200,548.83,0.0,COST REFERENCE
2,O2-Sensor,Conversion Cost,O2-Sensor-200,Welding Labor,0.69,0.61,0.08,37,O2-Sensor-211,548.83,43.91,REFERENCE FOUND!
2,O2-Sensor,Conversion Cost,O2-Sensor-200,Quality Inspection,0.43,0.43,0.0,2,O2-Sensor-200,548.83,0.0,COST REFERENCE
2,O2-Sensor,Conversion Cost,O2-Sensor-200,Transportation Handling,0.38,0.35,0.03,37,O2-Sensor-211,548.83,16.46,REFERENCE FOUND!
2,O2-Sensor,Logistic Choice,O2-Sensor-200,Road,0.51,0.45,0.06,44,ECU-314,548.83,32.93,REFERENCE FOUND!
2,O2-Sensor,Logistic Choice,O2-Sensor-200,Functionality Test,0.31,0.21,0.1,19,TPS-106,548.83,54.88,REFERENCE FOUND!
2,O2-Sensor,Logistic Choice,O2-Sensor-200,Environmental Stress Screening,0.1,0.1,0.0,2,O2-Sensor-200,548.83,0.0,COST REFERENCE
3,ECU,Electronic Component,ECU-300,Capacitor,0.78,0.51,0.27,28,ECU-309,1124.54,303.63,REFERENCE FOUND!
3,ECU,Electronic Component,ECU-300,Transistor,1.01,0.96,0.05,38,ECU-312,1124.54,56.23,REFERENCE FOUND!
3,ECU,Electronic Component,ECU-300,Diode,0.3,0.24,0.06,20,O2-Sensor-206,1124.54,67.47,REFERENCE FOUND!
3,ECU,Mechanical Components,ECU-300,Mounting Bracket,0.52,0.37,0.15,28,ECU-309,1124.54,168.68,REFERENCE FOUND!
3,ECU,Mechanical Components,ECU-300,Connector Housing,0.3,0.26,0.04,28,ECU-309,1124.54,44.98,REFERENCE FOUND!
3,ECU,Mechanical Components,ECU-300,Adjustable Lever,0.45,0.34,0.11,38,ECU-312,1124.54,123.7,REFERENCE FOUND!
3,ECU,Raw Material,ECU-300,Stainless Steel,0.45,0.42,0.03,20,O2-Sensor-206,1124.54,33.74,REFERENCE FOUND!
3,ECU,Raw Material,ECU-300,Nickel,0.27,0.27,0.0,3,ECU-300,1124.54,0.0,COST REFERENCE
3,ECU,Conversion Cost,ECU-300,Circuit Board Assembly,0.64,0.59,0.05,20,O2-Sensor-206,1124.54,56.23,REFERENCE FOUND!
