CQID,pType,CAT,CPID,CComp,CCost,LCost,DCost,DQID,DPID,[Q],IMP,POS
1,TPS,Electronic Component,TPS-100,Potentiometer,0.73,0.58,0.15,36,TPS-112,8070000.0,1210500.0,REFERENCE FOUND!
1,TPS,Electronic Component,TPS-100,Microcontroller,1.23,1.01,0.22,26,TPS-108,8070000.0,1775400.0,REFERENCE FOUND!
1,TPS,Electronic Component,TPS-100,Voltage Regulator,0.22,0.22,0.0,1,TPS-100,8070000.0,0.0,COST REFERENCE
1,TPS,Mechanical Components,TPS-100,Injection-Molded Plastic Casing,0.55,0.37,0.18,26,TPS-108,8070000.0,1452600.0,REFERENCE FOUND!
1,TPS,Mechanical Components,TPS-100,Brass Contact Pins,0.32,0.24,0.08,17,TPS-105,8070000.0,645600.0,REFERENCE FOUND!
1,TPS,Mechanical Components,TPS-100,Mounting Clamp,0.28,0.28,0.0,1,TPS-100,8070000.0,0.0,COST REFERENCE
2,O2-Sensor,Electronic Component,O2-Sensor-200,Resistor,0.55,0.51,0.04,27,O2-Sensor-208,8170000.0,326800.0,REFERENCE FOUND!
2,O2-Sensor,Electronic Component,O2-Sensor-200,Pressure Sensor,1.03,1.03,0.0,2,O2-Sensor-200,8170000.0,0.0,COST REFERENCE
2,O2-Sensor,Electronic Component,O2-Sensor-200,Heat Sink,0.2,0.2,0.0,2,O2-Sensor-200,8170000.0,0.0,COST REFERENCE
2,O2-Sensor,Mechanical Components,O2-Sensor-200,Thermal Shielding,0.37,0.37,0.0,2,O2-Sensor-200,8170000.0,0.0,COST REFERENCE
2,O2-Sensor,Mechanical Components,O2-Sensor-200,Spring Clip,0.35,0.25,0.1,19,TPS-106,8170000.0,817000.0,REFERENCE FOUND!
2,O2-Sensor,Mechanical Components,O2-Sensor-200,Gear Mechanism,0.29,0.29,0.0,2,O2-Sensor-200,8170000.0,0.0,COST REFERENCE
3,ECU,Electronic Component,ECU-300,Capacitor,0.78,0.51,0.27,28,ECU-309,7870000.0,2124900.0,REFERENCE FOUND!
3,ECU,Electronic Component,ECU-300,Transistor,1.01,0.96,0.05,38,ECU-312,7870000.0,393500.0,REFERENCE FOUND!
3,ECU,Electronic Component,ECU-300,Diode,0.3,0.24,0.06,20,O2-Sensor-206,7870000.0,472200.0,REFERENCE FOUND!
3,ECU,Mechanical Components,ECU-300,Mounting Bracket,0.52,0.37,0.15,28,ECU-309,7870000.0,1180500.0,REFERENCE FOUND!
3,ECU,Mechanical Components,ECU-300,Connector Housing,0.3,0.26,0.04,28,ECU-309,7870000.0,314800.0,REFERENCE FOUND!
3,ECU,Mechanical Components,ECU-300,Adjustable Lever,0.45,0.34,0.11,38,ECU-312,7870000.0,865700.0,REFERENCE FOUND!
4,TPS,Electronic Component,TPS-101,Thermistor,0.71,0.47,0.24,21,ECU-306,8690000.0,2085600.0,REFERENCE FOUND!
4,TPS,Electronic Component,TPS-101,Temperature Sensor,1.3,0.86,0.44,29,TPS-109,8690000.0,3823600.0,REFERENCE FOUND!
4,TPS,Electronic Component,TPS-101,Amplifier,0.24,0.24,0.0,4,TPS-101,8690000.0,0.0,COST REFERENCE
4,TPS,Mechanical Components,TPS-101,Rubber Seal,0.5,0.48,0.02,21,ECU-306,8690000.0,173800.0,REFERENCE FOUND!
4,TPS,Mechanical Components,TPS-101,Copper Wire,0.35,0.24,0.11,21,ECU-306,8690000.0,955900.0,REFERENCE FOUND!
4,TPS,Mechanical Components,TPS-101,Rotary Shaft,0.33,0.28,0.05,21,ECU-306,8690000.0,434500.0,REFERENCE FOUND!
5,O2-Sensor,Electronic Component,O2-Sensor-201,LED,0.71,0.69,0.02,40,O2-Sensor-212,7410000.0,148200.0,REFERENCE FOUND!
5,O2-Sensor,Electronic Component,O2-Sensor-201,Relay,1.57,0.83,0.74,40,O2-Sensor-212,7410000.0,5483400.0,REFERENCE FOUND!
5,O2-Sensor,Electronic Component,O2-Sensor-201,Operational Amplifier,0.34,0.21,0.13,40,O2-Sensor-212,7410000.0,963300.0,REFERENCE FOUND!
5,O2-Sensor,Mechanical Components,O2-Sensor-201,Actuator Arm,0.42,0.37,0.05,40,O2-Sensor-212,7410000.0,370500.0,REFERENCE FOUND!
5,O2-Sensor,Mechanical Components,O2-Sensor-201,Plastic Knob,0.24,0.24,0.0,5,O2-Sensor-201,7410000.0,0.0,COST REFERENCE
5,O2-Sensor,Mechanical Components,O2-Sensor-201,Cam Follower,0.4,0.36,0.04,40,O2-Sensor-212,7410000.0,296400.0,REFERENCE FOUND!
6,ECU,Electronic Component,ECU-301,Diode,0.6,0.6,0.0,6,ECU-301,8440000.0,0.0,COST REFERENCE
6,ECU,Electronic Component,ECU-301,Inductor,1.39,0.93,0.46,22,O2-Sensor-207,8440000.0,3882400.0,REFERENCE FOUND!
6,ECU,Electronic Component,ECU-301,Crystal Oscillator,0.22,0.21,0.01,22,O2-Sensor-207,8440000.0,84400.0,REFERENCE FOUND!
6,ECU,Mechanical Components,ECU-301,Connector Body,0.38,0.37,0.01,22,O2-Sensor-207,8440000.0,84400.0,REFERENCE FOUND!
6,ECU,Mechanical Components,ECU-301,Steel Rod,0.28,0.28,0.0,6,ECU-301,8440000.0,0.0,COST REFERENCE
6,ECU,Mechanical Components,ECU-301,Linkage Assembly,0.35,0.35,0.0,6,ECU-301,8440000.0,0.0,COST REFERENCE
7,TPS,Electronic Component,TPS-102,Integrated Circuit,0.55,0.47,0.08,23,ECU-307,7160000.0,572800.0,REFERENCE FOUND!
7,TPS,Electronic Component,TPS-102,Piezoelectric Sensor,0.99,0.99,0.0,7,TPS-102,7160000.0,0.0,COST REFERENCE
7,TPS,Electronic Component,TPS-102,Filter,0.21,0.21,0.0,7,TPS-102,7160000.0,0.0,COST REFERENCE
7,TPS,Mechanical Components,TPS-102,Valve Body,0.5,0.43,0.07,32,TPS-110,7160000.0,501200.0,REFERENCE FOUND!
7,TPS,Mechanical Components,TPS-102,Ceramic Disc,0.37,0.28,0.09,42,TPS-114,7160000.0,644400.0,REFERENCE FOUND!
7,TPS,Mechanical Components,TPS-102,Control Arm,0.46,0.34,0.12,23,ECU-307,7160000.0,859200.0,REFERENCE FOUND!
