CQID,pType,CAT,CPID,CComp,CCost,LCost,DCost,DQID,DPID,[Q],IMP,POS
1,TPS,Electronic Component,TPS-100,Potentiometer,0.73,0.58,0.15,36,TPS-112,8070000.0,1210500.0,REFERENCE FOUND!
1,TPS,Electronic Component,TPS-100,Microcontroller,1.23,1.01,0.22,26,TPS-108,8070000.0,1775400.0,REFERENCE FOUND!
1,TPS,Electronic Component,TPS-100,Voltage Regulator,0.22,0.22,0.0,1,TPS-100,8070000.0,0.0,COST REFERENCE
2,O2-Sensor,Electronic Component,O2-Sensor-200,Resistor,0.55,0.51,0.04,27,O2-Sensor-208,8170000.0,326800.0,REFERENCE FOUND!
2,O2-Sensor,Electronic Component,O2-Sensor-200,Pressure Sensor,1.03,1.03,0.0,2,O2-Sensor-200,8170000.0,0.0,COST REFERENCE
2,O2-Sensor,Electronic Component,O2-Sensor-200,Heat Sink,0.2,0.2,0.0,2,O2-Sensor-200,8170000.0,0.0,COST REFERENCE
3,ECU,Electronic Component,ECU-300,Capacitor,0.78,0.51,0.27,28,ECU-309,7870000.0,2124900.0,REFERENCE FOUND!
3,ECU,Electronic Component,ECU-300,Transistor,1.01,0.96,0.05,38,ECU-312,7870000.0,393500.0,REFERENCE FOUND!
3,ECU,Electronic Component,ECU-300,Diode,0.3,0.24,0.06,20,O2-Sensor-206,7870000.0,472200.0,REFERENCE FOUND!
4,TPS,Electronic Component,TPS-101,Thermistor,0.71,0.47,0.24,21,ECU-306,8690000.0,2085600.0,REFERENCE FOUND!
4,TPS,Electronic Component,TPS-101,Temperature Sensor,1.3,0.86,0.44,29,TPS-109,8690000.0,3823600.0,REFERENCE FOUND!
4,TPS,Electronic Component,TPS-101,Amplifier,0.24,0.24,0.0,4,TPS-101,8690000.0,0.0,COST REFERENCE
5,O2-Sensor,Electronic Component,O2-Sensor-201,LED,0.71,0.69,0.02,40,O2-Sensor-212,7410000.0,148200.0,REFERENCE FOUND!
5,O2-Sensor,Electronic Component,O2-Sensor-201,Relay,1.57,0.83,0.74,40,O2-Sensor-212,7410000.0,5483400.0,REFERENCE FOUND!
5,O2-Sensor,Electronic Component,O2-Sensor-201,Operational Amplifier,0.34,0.21,0.13,40,O2-Sensor-212,7410000.0,963300.0,REFERENCE FOUND!
6,ECU,Electronic Component,ECU-301,Diode,0.6,0.6,0.0,6,ECU-301,8440000.0,0.0,COST REFERENCE
6,ECU,Electronic Component,ECU-301,Inductor,1.39,0.93,0.46,22,O2-Sensor-207,8440000.0,3882400.0,REFERENCE FOUND!
6,ECU,Electronic Component,ECU-301,Crystal Oscillator,0.22,0.21,0.01,22,O2-Sensor-207,8440000.0,84400.0,REFERENCE FOUND!
7,TPS,Electronic Component,TPS-102,Integrated Circuit,0.55,0.47,0.08,23,ECU-307,7160000.0,572800.0,REFERENCE FOUND!
7,TPS,Electronic Component,TPS-102,Piezoelectric Sensor,0.99,0.99,0.0,7,TPS-102,7160000.0,0.0,COST REFERENCE
7,TPS,Electronic Component,TPS-102,Filter,0.21,0.21,0.0,7,TPS-102,7160000.0,0.0,COST REFERENCE
8,O2-Sensor,Electronic Component,O2-Sensor-202,Fuse,0.74,0.49,0.25,43,O2-Sensor-213,8289999.999999999,2072500.0,REFERENCE FOUND!
8,O2-Sensor,Electronic Component,O2-Sensor-202,Servo Motor,1.48,1.03,0.45,24,TPS-107,8289999.999999999,3730500.0,REFERENCE FOUND!
8,O2-Sensor,Electronic Component,O2-Sensor-202,Rectifier,0.34,0.21,0.13,24,TPS-107,8289999.999999999,1077700.0,REFERENCE FOUND!
9,ECU,Electronic Component,ECU-302,Voltage Regulator,0.69,0.62,0.07,34,ECU-311,7310000.0,511700.0,REFERENCE FOUND!
9,ECU,Electronic Component,ECU-302,Optocoupler,1.6,0.98,0.62,44,ECU-314,7310000.0,4532200.0,REFERENCE FOUND!
9,ECU,Electronic Component,ECU-302,Power Supply,0.2,0.2,0.0,9,ECU-302,7310000.0,0.0,COST REFERENCE
10,TPS,Electronic Component,TPS-103,Oscillator,0.76,0.48,0.28,45,TPS-115,6580000.0,1842400.0,REFERENCE FOUND!
10,TPS,Electronic Component,TPS-103,Magnetic Sensor,1.11,0.73,0.38,45,TPS-115,6580000.0,2500400.0,REFERENCE FOUND!
10,TPS,Electronic Component,TPS-103,Charge Controller,0.29,0.29,0.0,10,TPS-103,6580000.0,0.0,COST REFERENCE
11,O2-Sensor,Electronic Component,O2-Sensor-203,Transducer,0.7,0.7,0.0,11,O2-Sensor-203,8410000.0,0.0,COST REFERENCE
11,O2-Sensor,Electronic Component,O2-Sensor-203,Variable Resistor,1.57,0.8,0.77,46,O2-Sensor-214,8410000.0,6475700.0,REFERENCE FOUND!
11,O2-Sensor,Electronic Component,O2-Sensor-203,Energy Harvester,0.34,0.29,0.05,46,O2-Sensor-214,8410000.0,420500.0,REFERENCE FOUND!
12,ECU,Electronic Component,ECU-303,Photodiode,0.57,0.57,0.0,12,ECU-303,6510000.0,0.0,COST REFERENCE
12,ECU,Electronic Component,ECU-303,LCD Display,1.28,1.28,0.0,12,ECU-303,6510000.0,0.0,COST REFERENCE
12,ECU,Electronic Component,ECU-303,Signal Processor,0.31,0.26,0.05,47,ECU-315,6510000.0,325500.0,REFERENCE FOUND!
13,TPS,Electronic Component,TPS-104,Piezoelectric Crystal,0.76,0.49,0.27,48,TPS-116,8150000.0,2200500.0,REFERENCE FOUND!
13,TPS,Electronic Component,TPS-104,RFID Chip,0.75,0.75,0.0,13,TPS-104,8150000.0,0.0,COST REFERENCE
13,TPS,Electronic Component,TPS-104,Hall Effect Sensor,0.3,0.26,0.04,48,TPS-116,8150000.0,326000.0,REFERENCE FOUND!
14,O2-Sensor,Electronic Component,O2-Sensor-204,Hall Sensor,0.45,0.45,0.0,14,O2-Sensor-204,7110000.0,0.0,COST REFERENCE
14,O2-Sensor,Electronic Component,O2-Sensor-204,Bluetooth Module,0.71,0.71,0.0,14,O2-Sensor-204,7110000.0,0.0,COST REFERENCE
14,O2-Sensor,Electronic Component,O2-Sensor-204,Analog-to-Digital Converter,0.31,0.31,0.0,14,O2-Sensor-204,7110000.0,0.0,COST REFERENCE
15,ECU,Electronic Component,ECU-304,RFID Reader,0.51,0.51,0.0,15,ECU-304,8460000.0,0.0,COST REFERENCE
